['レ', 'ミ', 'ファ', 'シ']
['ミ', 'ソ♭', 'ソ', 'シ']
['ミ', 'ラ♭', 'ラ', 'シ']
['ド', 'ミ', 'ソ', 'シ♭']
['ド', 'レ', 'ラ', 'シ']
['レ', 'ミ', 'ファ', 'ラ']
['ド', 'レ', 'ファ', 'シ']
['ド', 'ファ', 'ソ', 'シ']
['ミ', 'ファ', 'ラ♭', 'シ']
['ド', 'レ', 'ファ', 'ソ']
['ド', 'ファ', 'ソ', 'シ']
['レ♭', 'ソ♭', 'ラ', 'シ']
['ド', 'ミ♭', 'ファ', 'ソ']
['レ♭', 'ミ♭', 'ミ', 'ソ♭']
['レ♭', 'ミ♭', 'ファ', 'ソ']
['ミ♭', 'ミ', 'ラ', 'シ']
['ド', 'ファ', 'ソ', 'ラ']
['ミ♭', 'ファ', 'シ♭', 'シ']
['ド', 'ファ', 'ソ', 'シ']
['レ', 'ファ', 'ラ', 'シ']
['ミ', 'ファ', 'ソ', 'シ']
['ド', 'ミ', 'ファ', 'ラ']
['ド', 'ミ', 'ソ', 'ラ']
['レ♭', 'レ', 'ファ', 'ラ']
['ド', 'ミ', 'ファ', 'ラ']
['レ', 'ミ', 'ファ', 'ラ']
